country,avg_carbon_intensity,avg_T,avg_I,avg_F,avg_renewable_ratio,avg_fossil_ratio,total_energy_avg,avg_TIF_entropy
Japan,33.576711862831466,56.809592147936925,7.760242792109256,25.597673965176416,0.2685423770986553,0.7070822442059972,2375.04858022003,0.8452494845148154
Australia,33.590544950381116,63.28215373267928,7.710516396532228,32.345682046750525,0.3321849371342999,0.6665333584103424,622.3175370242593,0.8175606719212754
Bosnia & Herz,33.788446319939624,64.07972439393566,7.719245283018868,34.1767193448357,0.3592027560606434,0.6407972439393566,38.399296088767414,0.8038281310015043
Estonia,34.85572962263133,57.71066808571815,7.719245283018868,28.436971361807856,0.2902519588640061,0.5717563167980818,15.099646312563772,0.7972822097237194
Serbia,36.822730871879436,65.49040305781251,7.719245283018868,31.06006894918328,0.326396458623008,0.6543137640640313,95.98449076033585,0.8110847141091427
Moldova,46.99782922668687,54.13775220938644,6.6833993835314836,9.276798578278822,0.0966210372349493,0.9001296849392207,13.166958290555682,0.6921396762385349
North Macedonia,49.803354337053335,67.27749720661775,7.719245283018868,19.8484261347648,0.20835996664645584,0.7916400333535442,15.044613259145235,0.7489434687984294
Dominican Republic,54.91213478578235,67.41181886266821,7.71342383107089,14.813711226207136,0.15287643776622772,0.8371105006827569,57.000186617117386,0.7265376174319672
India,55.611337855871525,75.11619164739058,7.710516396532228,21.818008710478722,0.22761747517424188,0.7510739547391113,4316.225383641161,0.7214575893390651
Poland,57.346435293754496,74.74528303750517,7.719245283018868,19.714621328656346,0.20175231314294287,0.7747926391468403,425.83311817390836,0.6975310479472301
South Africa,71.89119573523007,84.3617394121365,7.710516396532228,14.783698595866104,0.1548592154921922,0.8442410695205725,581.7974571014199,0.6068631456244514
Bangladesh,74.10649248043242,74.0797332860063,7.710516396532228,2.2863957245335476,0.02371145758903778,0.9762885424109622,198.7652651610328,0.4812722853231424
Kosovo,95.80790659852072,97.31235913694374,5.115065243179123,2.62600292526261,0.02687640863056248,0.9731235913694375,15.597595894228965,0.24395820635435064
